;long;lat;road;fuel_supply;restaurant;snack_bar;convenience_store;public_phone;hotel;mechanics;borrower;money_supply;site_size_m2;vacancy_length
;-52309964;-31943067;BR-392;1;1;1;o;1;o;o;1;o;9100;50
;-52359106;-31777867;BR-392;1;o;1;o;1;o;o;o;o;o;o
;-52395344;-31760189;BR-392;1;1;1;o;1;o;1;1;o;45400;250
;-52404039;-31707508;BR-392;1;o;1;o;o;o;o;o;o;5400;30
;-52423917;-31695653;BR-392;1;1;1;o;o;o;o;o;o;7200;40
;-52650006;-31439339;BR-392;1;1;1;o;o;o;o;1;o;9100;50
;-52682066;-31405764;BR-392;1;1;1;o;o;o;1;1;o;6300;35
;-52715511;-31375947;BR-392;1;1;1;o;o;1;o;o;o;11000;60
;-52799567;-31244389;BR-392;1;1;1;o;o;o;o;1;o;81800;450
;-50918333;-28500000;BR-116;1;1;1;1;1;o;o;1;o;10400;104
;-51160935;-29174786;;;;;;;;;;;;
;-53088120;-28407320;;;;;;;;;;;;
;-51960510;-30129570;;;;;;;;;;;;
;-52040330;-30143120;;;;;;;;;;;;
;-51468700;-30424251;;;;;;;;;;;;
;-52598050;-28578780;;;;;;;;;;;;
;-52297967;-29035769;BR-386;1;1;1;o;1;o;1;1;o;8000;35
;-52489889;-28814278;BR-386;1;1;1;o;1;1;1;1;o;3750;25
;-52495528;-28811778;BR-386;1;1;1;o;1;o;1;1;o;7500;50
;-52597972;-28682111;BR-386;1;1;1;o;o;1;1;1;o;19000;190
;-52614639;-28624611;BR-386;1;1;1;1;1;o;1;1;o;12000;120
;-52599139;-28585028;BR-386;1;1;1;o;o;o;1;o;o;8000;80
;-52595361;-28577750;BR-386;1;1;1;o;1;o;1;1;o;10000;100
;-52650889;-28482111;BR-386;1;1;1;o;o;o;1;1;o;8000;80
;-52690556;-28394750;BR-386;1;1;o;1;o;o;o;1;o;;
;-52737417;-28312750;BR-386;1;1;1;1;1;o;1;1;o;5000;50
;-52771778;-28274389;BR-386;1;1;1;1;1;1;1;1;o;3000;30
;-52902944;-27984000;BR-386;1;1;1;1;1;1;1;1;o;10000;100
;-52466222;-28223306;BR-285;1;1;1;1;1;o;1;1;o;10000;100
;-52787778;-28312583;BR-285;1;1;1;1;1;o;o;o;o;2500;25
;-52787778;-28312583;BR-285;1;1;1;1;1;o;o;1;o;5000;50
;-52787806;-28312611;BR-285;1;1;1;o;1;o;1;1;o;2500;25
;-52792222;-28313028;BR-285;1;1;1;o;1;o;1;1;o;4000;40
;-52793056;-28311972;BR-386;1;1;o;1;o;o;o;1;o;1000;10
;-52793056;-28311972;BR-386;1;1;1;o;1;o;1;1;o;3000;30
;-52368300;-28972578;BR-386;1;1;1;1;1;o;o;1;o;10000;55
;-52368364;-28977742;BR-386;1;1;1;o;1;1;1;1;o;1500;15
;-52297208;-29045025;BR-386;1;o;1;o;1;o;o;o;o;800;8
;-52284639;-29068014;BR-386;1;1;o;o;1;o;1;o;o;900;10
;-52206333;-29171878;BR-386;1;1;1;o;1;1;o;1;o;700;6
;-52102539;-29325728;BR-386;1;1;o;o;1;o;1;1;o;500;5
;-52009983;-29433289;BR-386;1;1;o;o;1;o;1;1;o;2000;18
;-52006375;-29434633;BR-386;1;o;1;o;1;o;1;1;o;1200;10
;-51950264;-29496744;BR-386;1;1;o;o;1;1;1;1;o;300;2
;-51909947;-29546653;BR-386;1;1;1;o;1;1;o;1;o;600;6
;-51785672;-29616383;BR-386;1;1;1;1;1;1;o;1;o;4000;30
;-50800278;-28279722;BR-116;1;1;1;o;1;1;1;1;o;8000;80
;-50899444;-28479167;BR-116;1;1;1;1;1;o;o;1;o;9500;95
;-50923889;-28503611;BR-116;1;o;1;1;1;1;o;o;o;1200;12
;-50924444;-28504167;BR-116;1;o;1;1;o;1;o;o;o;2000;20
;-50925833;-28506667;BR-116;1;o;1;1;1;o;1;1;o;6000;60
;-50945833;-28523611;BR-116;1;1;1;o;o;1;o;o;o;7000;70
;-50961389;-28535556;BR-116;1;1;1;1;1;o;o;1;o;9000;90
;-51096944;-28780833;BR-116;1;1;1;o;1;o;1;1;o;10000;100
;-51132272;-28843150;BR-116;1;1;1;o;1;o;o;o;o;600;8
;-51081258;-28955436;BR-116;1;1;1;1;1;o;o;o;o;3000;50
;-51073050;-28967947;BR-116;1;1;1;o;1;o;o;1;o;200;4
;-51071936;-28969814;BR-116;1;o;o;1;1;o;1;o;o;500;8
;-51068475;-28974750;BR-116;1;1;1;1;1;o;1;o;o;1000;15
;-51065694;-28976400;BR-116;1;o;o;o;o;o;o;o;o;300;5
;-51077356;-29020772;BR-116;1;1;1;1;1;o;o;o;o;2000;25
;-51160683;-29224494;BR-116;1;o;1;o;1;o;o;1;o;300;4
;-51166375;-29312369;BR-116;1;1;1;1;1;o;o;1;o;1000;15
;-51412058;-30279422;BR-116;1;1;1;o;1;o;o;o;o;2500;20
;-51475208;-30431475;BR-116;1;1;1;1;1;o;o;1;o;800;10
;-51551589;-30636667;BR-116;1;1;1;1;1;o;o;o;o;2500;20
;-51717906;-30824606;BR-116;1;1;1;o;1;1;1;1;o;2500;20
;-51787078;-30858856;BR-116;1;o;o;o;o;o;o;o;o;800;15
;-51615492;-30084211;BR-290;1;1;1;o;1;o;o;1;o;900;15
;-51657947;-30100400;BR-290;1;1;1;o;o;o;o;1;o;2500;20
;-51726144;-30105078;BR-290;1;o;1;o;1;o;1;1;o;2500;20
;-51870008;-30122950;BR-290;1;o;o;o;o;o;1;o;o;900;15
;-51882167;-30122847;BR-290;1;o;o;o;o;o;o;1;o;2500;20
;-51884103;-30124464;BR-290;1;o;o;o;o;o;o;o;o;10000;25
;-51971675;-30130503;BR-290;1;1;1;o;o;o;o;1;o;4900;20
;-52025128;-30141306;BR-290;1;o;o;1;1;o;o;o;o;2500;20
;-52374567;-30190722;BR-290;1;1;1;o;1;o;o;1;o;1400;10
;-52376083;-30191036;BR-290;1;1;1;1;1;o;o;1;o;2000;15
;-53240953;-30323175;BR-290;1;1;1;1;1;o;1;1;o;9000;40
;-53271844;-30338739;BR-290;1;1;1;o;1;o;1;o;o;1300;10
;-50929722;-28509167;BR-116;1;o;1;o;o;o;o;1;o;1000;10
;-50932778;-28510000;BR-285;1;o;1;1;o;o;o;o;o;o;o
;-50935278;-28510000;BR-285;1;1;1;1;1;o;o;o;o;1200;12
;-50940556;-28507222;BR-285;1;o;o;o;1;o;o;o;o;o;o
;-50945000;-28505000;BR-285;1;o;o;1;1;o;o;o;o;1500;15
;-50950556;-28500556;BR-285;1;o;1;1;1;o;o;o;o;1000;10
;-50950278;-28500000;BR-285;1;o;o;1;o;o;o;o;o;1500;15
